,filename,dominant_color_rgb,dominant_color_name,exact_color_name
242,081622c91dfcd7d35979418c6cf67e8f8a779dcf.jpg,"(188, 192, 194)",gray,silver
243,dd8dfcb4d6ab3a36a743b37133154ab97851ab2a.jpg,"(41, 33, 35)",black,black
244,916e9073f966185e294eed6655fbec5eb82642a3.jpg,"(58, 25, 17)",black,black
245,464c5be0d146b2d332e08f39a254e128b424db2e.jpg,"(188, 28, 22)",red,firebrick
246,e5b5515a533c29383269213c9e49c45760909030.jpg,"(142, 59, 30)",brown,saddlebrown
247,ddcf129417c82f30fcc97f334f0285d5d4880834.jpg,"(33, 31, 29)",black,black
248,e0df2836b52c7d84e3ffd4aa59a9b4e4667ce3c9.jpg,"(222, 201, 123)",brown,burlywood
249,f580a1b7132643e43944ff9080ac9d4ff90676ae.jpg,"(20, 11, 10)",black,black
250,38a9f7b26f8b70d61c9cbe3d23ab6d090e056c99.jpg,"(208, 169, 169)",brown,tan
251,2f3f4e787cb28d58d8c3e06f97a7bd98a7aa4d7e.jpg,"(56, 108, 146)",blue,steelblue
252,d59d8b74c69f0108bd2893e8ab9815555e0faad5.jpg,"(27, 18, 20)",black,black
253,c5450cc3feece153918bea5dd232e00f3bf15f55.jpg,"(228, 227, 226)",gray,gainsboro
254,6b34f7576cc3faab7f7d5fcc1ecbc1c21f80b795.jpg,"(182, 153, 136)",brown,rosybrown
255,ef4df1a27985a4955282298243d43878db17670a.jpg,"(207, 197, 199)",gray,silver
256,55afc37b7373c5d2c8b50e60e39ef238b96221ca.jpg,"(212, 169, 141)",brown,tan
257,cc3966d6e4eb9195f11b54d486fbca82e3c4ac34.jpg,"(97, 65, 44)",green,darkolivegreen
258,c3f5cea2a3671ebb7307468ae0af3f89833f223d.jpg,"(27, 52, 77)",green,darkslategrey
259,be316aa85ae762552dee4d59010dbc39e514092f.jpg,"(111, 84, 72)",gray,dimgrey
260,a4c58a01163e48dd97d032869bef261ec2740131.jpg,"(23, 28, 31)",black,black
261,3b61b0854deeed48acf316edec854a0fde99b8e4.jpg,"(86, 113, 151)",gray,slategrey
262,7d49e13081b920bb35fd92ee869798d2c72db6bd.jpg,"(185, 146, 91)",brown,peru
263,e50c54a1c53b479050dcad10128a575f2db442e1.jpg,"(198, 97, 36)",brown,chocolate
264,1740ca8f3e95bba21518657a91148cbe9a8ea361.jpg,"(213, 217, 205)",gray,lightgrey
265,2fe56d8fe222a4321474664eaf879458217a6cc3.jpg,"(192, 140, 97)",brown,peru
266,125e141bb9c4a4ea3b81a661b8f09c751dd03483.jpg,"(92, 25, 14)",brown,maroon
267,ec035fe79b019168540be79bf801e2a3e41659b4.jpg,"(239, 222, 199)",brown,bisque
268,6fb3cf0906a17b5fd5813cd1c1b4d66ca26ec607.jpg,"(193, 164, 129)",brown,rosybrown
